name,description,dosage
Парацетамол,"Жаропонижающее и обезболивающее средство.","500 мг"
Ибупрофен,"НПВС: противовоспалительное, обезболивающее, жаропонижающее.","200–400 мг"
Аспирин,"НПВС, разжижает кровь при низких дозах.","100–500 мг"
Амоксициллин,"Антибиотик широкого спектра (пенициллины).","500 мг"
Азитромицин,"Антибиотик макролидной группы.","500 мг"
Лоратадин,"Антигистаминное средство II поколения.","10 мг"
Цетиризин,"Антигистаминное средство от аллергии.","10 мг"
Омепразол,"Ингибитор протонной помпы — снижает кислотность желудка.","20 мг"
Фамотидин,"Блокатор H2-рецепторов.","20 мг"
Амлодипин,"Блокатор кальциевых каналов для снижения давления.","5 мг"
Эналаприл,"Ингибитор АПФ.","10 мг"
Метформин,"Пероральный сахароснижающий препарат.","500–850 мг"
Кальций D3,"Комбинация кальция и витамина D3.","По инструкции"
Но-шпа,"Спазмолитик.","40–80 мг"
Активированный уголь,"Энтеросорбент при отравлениях.","250 мг"
Смекта,"Противодиарейное средство.","3 г"
Називин,"Сосудосуживающие капли в нос.","0,05%"
Амброксол,"Муколитик при кашле.","30 мг"
Бромгексин,"Отхаркивающее средство.","8 мг"
Кальция глюконат,"Препарат кальция.","500 мг"
Кеторолак,"НПВС сильного действия (кратковременно).","10 мг"
Диклофенак,"НПВС местного и системного действия.","50–75 мг"
Метоклопрамид,"Противорвотное средство.","10 мг"
Доксициклин,"Антибиотик группы тетрациклинов.","100 мг"
Кларитромицин,"Антибиотик макролид.","500 мг"
Ацикловир,"Противовирусное средство.","200–400 мг"
Пантопразол,"Ингибитор протонной помпы.","40 мг"
Лозартан,"Блокатор рецепторов ангиотензина II.","50 мг"
Бисопролол,"Бета-адреноблокатор.","5 мг"
Аторвастатин,"Гиполипидемическое средство.","10–20 мг"
Левотироксин,"Заместительная терапия при гипотиреозе.","25–100 мкг"
Инсулин гларгин,"Базальный инсулин.","По схеме врача"
Гидрокортизон,"Глюкокортикостероид (мазь).","1%"
Хлоргексидин,"Антiseptik.","0,05% раствор"
Мирамистин,"Антiseptik широкого спектра.","Раствор"
Валидол,"Средство от боли в сердце (симптоматически).","60 мг"
Корвалол,"Седативное средство.","15–30 капель"
Нитроглицерин,"Противoanginalnoe sredstvo.","0,5 мг"
Фуросемид,"Мочегонное средство.","40 мг"
Спиронолактон,"Калийсберегающий диуретик.","25 мг"
