name,description
ОРВИ,"Острая респираторная вирусная инфекция — группа заболеваний верхних дыхательных путей."
Грипп,"Острое инфекционное заболевание с лихорадкой, кашлем и слабостью."
Гастрит,"Воспаление слизистой оболочки желудка."
Гипертония,"Стойкое повышение артериального давления."
Бронхит,"Воспаление бронхов, часто сопровождается кашлем."
Ангина,"Острое воспаление миндалин (тонзиллит)."
Синусит,"Воспаление придаточных пазух носа."
Аллергический ринит,"Аллергическое воспаление слизистой носа."
Мигрень,"Приступообразная сильная головная боль."
Артрит,"Воспаление суставов с болью и ограничением движений."
Дерматит,"Воспаление кожи с зудом и покраснением."
Пищевое отравление,"Острое расстройство после употребления некачественной пищи."
Цистит,"Воспаление мочевого пузыря."
Геморрой,"Расширение вен прямой кишки."
Астма,"Хроническое воспалительное заболевание дыхательных путей."
Пневмония,"Воспаление лёгких инфекционного происхождения."
Язва желудка,"Дефект слизистой желудка."
Подагра,"Заболевание обмена веществ с отложением мочевой кислоты в суставах."
Остеохондроз,"Дегенеративные изменения позвоночника."
Варикозное расширение вен,"Хроническое заболевание вен нижних конечностей."
Экзема,"Хроническое воспалительное заболевание кожи."
Конъюнктивит,"Воспаление слизистой оболочки глаза."
Отит,"Воспаление уха."
Стоматит,"Воспаление слизистой полости рта."
Гипотиреоз,"Снижение функции щитовидной железы."
Сахарный диабет 2 типа,"Нарушение углеводного обмена с повышением глюкозы крови."
Панкреатит,"Воспаление поджелудочной железы."
Гепатит A,"Острая вирусная инфекция печени."
Опоясывающий лишай,"Вирусное поражение кожи и нервов (herpes zoster)."
ИБС,"Ишемическая болезнь сердца."
