name,iso3166_2
Республика Адыгея,RU-AD
Республика Алтай,RU-AL
Алтайский край,RU-ALT
Амурская область,RU-AMU
Архангельская область,RU-ARK
Астраханская область,RU-AST
Республика Башкортостан,RU-BA
Белгородская область,RU-BEL
Брянская область,RU-BRY
Республика Бурятия,RU-BU
Чеченская Республика,RU-CE
Челябинская область,RU-CHE
Чукотский автономный округ,RU-CHU
Чувашская Республика,RU-CU
Республика Дагестан,RU-DA
Республика Ингушетия,RU-IN
Иркутская область,RU-IR
Ивановская область,RU-IV
Кабардино-Балкарская Республика,RU-KB
Калининградская область,RU-KGD
Республика Калмыкия,RU-KL
Калужская область,RU-KLU
Камчатский край,RU-KAM
Карачаево-Черкесская Республика,RU-KC
Республика Коми,RU-KO
Костромская область,RU-KOS
Краснодарский край,RU-KDA
Красноярский край,RU-KYA
Курганская область,RU-KGN
Курская область,RU-KRS
Ленинградская область,RU-LEN
Липецкая область,RU-LIP
Магаданская область,RU-MAG
Республика Марий Эл,RU-ME
Республика Мордовия,RU-MO
Московская область,RU-MOS
Москва,RU-MOW
Мурманская область,RU-MUR
Ненецкий автономный округ,RU-NEN
Нижегородская область,RU-NIZ
Новгородская область,RU-NGR
Новосибирская область,RU-NVS
Омская область,RU-OMS
Оренбургская область,RU-ORE
Орловская область,RU-ORL
Пензенская область,RU-PNZ
Пермский край,RU-PER
Приморский край,RU-PRI
Псковская область,RU-PSK
Ростовская область,RU-ROS
Рязанская область,RU-RYA
Республика Саха (Якутия),RU-SA
Сахалинская область,RU-SAK
Самарская область,RU-SAM
Саратовская область,RU-SAR
Республика Северная Осетия — Алания,RU-SE
Смоленская область,RU-SMO
Санкт-Петербург,RU-SPE
Ставропольский край,RU-STA
Свердловская область,RU-SVE
Тамбовская область,RU-TAM
Республика Татарстан,RU-TA
Томская область,RU-TOM
Тульская область,RU-TUL
Республика Тыва,RU-TY
Тверская область,RU-TVE
Тюменская область,RU-TYU
Удмуртская Республика,RU-UD
Ульяновская область,RU-ULY
Владимирская область,RU-VLA
Волгоградская область,RU-VGG
Вологодская область,RU-VLG
Воронежская область,RU-VOR
Ямало-Ненецкий автономный округ,RU-YAN
Ярославская область,RU-YAR
Забайкальский край,RU-ZAB
Еврейская автономная область,RU-YEV
Ханты-Мансийский автономный округ — Югра,RU-KHM
Республика Крым,RU-CR
Севастополь,RU-SEV
