kind,city_name,name,address,phone,hours_text,latitude,longitude,external_source,external_id,description
pharmacy,Москва,Аптека 36.6 на Тверской,ул. Тверская 12,+7 (495) 123-45-67,08:00–22:00,55.7579710,37.6129920,yandex,msk-366-001,Сеть аптек
pharmacy,Москва,Горздрав,Ленинский проспект 45,+7 (495) 234-56-78,09:00–21:00,55.7074000,37.5869000,yandex,msk-gz-002,
pharmacy,Москва,Ригла,ул. Арбат 24,+7 (495) 345-67-89,08:00–23:00,55.7496000,37.5913000,2gis,msk-rigla-003,
hospital,Москва,ГКБ им. С.П. Боткина,2-я Боткинская ул. 5,+7 (495) 945-34-34,круглосуточно,55.8405000,37.5486000,yandex,msk-botkin-001,Городская клиника
hospital,Москва,Морозовская детская больница,4-й Добрынинский пер. 1/9,+7 (495) 959-86-00,круглосуточно,55.7289000,37.6098000,yandex,msk-moroz-002,
pharmacy,Санкт-Петербург,Аптека 36.6 Невский,Невский пр. 88,+7 (812) 111-22-33,08:00–22:00,59.9319000,30.3597000,yandex,spb-366-001,
pharmacy,Санкт-Петербург,Петроаптека,ул. Рубинштейна 18,+7 (812) 222-33-44,09:00–21:00,59.9654000,30.3115000,2gis,spb-petro-002,
hospital,Санкт-Петербург,Городская больница №26,ул. Салова 41,+7 (812) 718-81-81,круглосуточно,59.8987000,30.3765000,yandex,spb-gb26-001,
hospital,Санкт-Петербург,Детская городская больница №1,ул. Литовская 2,+7 (812) 542-62-62,круглосуточно,59.9881000,30.3856000,yandex,spb-dgb1-002,
pharmacy,Казань,Аптека Живика,ул. Баумана 58,+7 (843) 333-44-55,08:00–22:00,55.7887000,49.1221000,zhivika,kzn-zh-001,
pharmacy,Казань,Горздрав Казань,ул. Петербургская 50,+7 (843) 444-55-66,09:00–21:00,55.7923000,49.1245000,yandex,kzn-gz-002,
hospital,Казань,РКБ им. С.В. Курбанова,ул. Достоевского 79,+7 (843) 519-70-00,круглосуточно,55.7789000,49.1324000,yandex,kzn-rkb-001,
pharmacy,Новосибирск,Аптека 36.6,Красный пр. 28,+7 (383) 555-66-77,08:00–22:00,55.0186000,82.9339000,yandex,nsk-366-001,
hospital,Новосибирск,Городская больница №1,ул. Мичурина 6,+7 (383) 222-03-03,круглосуточно,55.0412000,82.9267000,yandex,nsk-gb1-001,
pharmacy,Екатеринбург,Живика,ул. Малышева 71,+7 (343) 666-77-88,08:00–22:00,56.8374000,60.5973000,zhivika,ekb-zh-001,
hospital,Екатеринбург,ГКБ №7,ул. Собольская 65,+7 (343) 251-91-91,круглосуточно,56.8269000,60.5987000,yandex,ekb-gkb7-001,
pharmacy,Краснодар,Аптека №1,ул. Красная 176,+7 (861) 777-88-99,08:00–22:00,45.0355000,38.9753000,yandex,krd-ap-001,
hospital,Краснодар,Краевая больница,ул. Первомайская 40,+7 (861) 268-03-03,круглосуточно,45.0448000,38.9765000,yandex,krd-kb-001,
