name,aliases
Чихание,чих;чихаю
Ломота в теле,ломит;разбитость
Покраснение глаз,красные глаза
Заложенность уха,заложило ухо
Онемение конечностей,онемение;покалывание
Потливость,сильная потливость
Сухость во рту,сухость
Метеоризм,газы;вздутие
Кровотечение из носа,носовое кровотечение
Одышка при нагрузке,не хватает воздуха
Боль при глотании,больно глотать
Отек лица,опухло лицо
Снижение аппетита,нет аппетита
Бессонница,не сплю
Раздражительность,нервозность
Сухой кашель,кашель без мокроты
Мокрота с кровью,кровь в мокроте
Боль в пояснице,болит поясница
Боль в плече,болит плечо
Тремор,дрожь;трясутся руки
