disease_name,drug_name
ОРВИ,Парацетамол
ОРВИ,Ибупрофен
ОРВИ,Називин
Грипп,Парацетамол
Грипп,Ибупрофен
Грипп,Амброксол
Бронхит,Амброксол
Бронхит,Бромгексин
Бронхит,Азитромицин
Ангина,Амоксициллин
Ангина,Азитромицин
Ангина,Парацетамол
Синусит,Називин
Синусит,Амоксициллин
Аллергический ринит,Лоратадин
Аллергический ринит,Цетиризин
Мигрень,Парацетамол
Мигрень,Ибупрофен
Мигрень,Кеторолак
Гастрит,Омепразол
Гастрит,Фамотидин
Гастрит,Но-шпа
Язва желудка,Омепразол
Язва желудка,Пантопразол
Гипертония,Амлодипин
Гипертония,Эналаприл
Гипертония,Лозартан
ИБС,Аспирин
ИБС,Бисопролол
ИБС,Аторвастатин
Артрит,Ибупрофен
Артрит,Диклофенак
Дерматит,Гидрокортизон
Дерматит,Цетиризин
Экзема,Гидрокортизон
Пищевое отравление,Активированный уголь
Пищевое отравление,Смекта
Цистит,Амоксициллин
Астма,Амброксол
Пневмония,Амоксициллин
Пневмония,Азитромицин
Сахарный диабет 2 типа,Метформин
Сахарный диабет 2 типа,Инсулин гларгин
Гипотиреоз,Левотироксин
Конъюнктивит,Хлоргексидин
Отит,Амоксициллин
Стоматит,Мирамистин
Опоясывающий лишай,Ацикловир
Подагра,Ибупрофен
Подагра,Диклофенак
Остеохондроз,Диклофенак
Остеохондроз,Кеторолак
Варикозное расширение вен,Диклофенак
Геморрой,Но-шпа
Панкреатит,Но-шпа
Гепатит A,Активированный уголь
Холецистит,Но-шпа
Холецистит,Омепразол
Хронический холецистит,Но-шпа
Фарингит,Парацетамол
Фарингит,Мирамистин
Гайморит,Називин
Гайморит,Амоксициллин
Радикулит,Диклофенак
Артроз,Ибупрофен
Пиелонефрит,Амоксициллин
Крапивница,Лоратадин
Крапивница,Цетиризин
Стенокардия,Нитроглицерин
Стенокардия,Аспирин
Варикозное расширение вен,Детралекс
ГЭРБ,Омепразол
